小区,区域,商圈,在售,在租,建成时间,均价(元/平米),均价环比上月(%)
玉兰花苑,徐汇,徐家汇,98,48,1992,"
78244","
2.54%"
东泉小区,徐汇,上海南站,97,53,2000,"
63147","
8.63%"
电影华苑,徐汇,万体馆,95,190,2007,"
86114","
14.92%"
零陵小区,徐汇,斜土路,94,90,1993,"
66280","
2.46%"
汇成五村,徐汇,植物园,93,73,1991,"
75575","
4.80%"
嘉汇广场,徐汇,斜土路,93,55,2000,"
59835","
13.73%"
强生花苑,徐汇,龙华,93,132,2000,"
76932","
1.84%"
民苑小区,徐汇,徐汇滨江,92,15,2000,"
69454","
6.11%"
中虹汇之苑,徐汇,康健,92,14,2004,"
81277","
7.42%"
梅陇四村,徐汇,华东理工,91,113,1994,"
59904","
0.96%"
百合花苑,徐汇,康健,90,59,1998,"
50653","
2.5%"
徐汇玺庭,徐汇,田林,90,66,2014,"
66070","
6.23%"
汇宁花园,徐汇,徐家汇,89,58,2007,"
98884","
0.98%"
龙南七村,徐汇,龙华,89,10,1994,"
77538","
0.82%"
阳光名苑,徐汇,斜土路,88,43,2007,"
90029","
2.17%"
茶花园,徐汇,康健,87,115,1992,"
67182","
1.2%"
宝石大楼,徐汇,漕河泾,85,75,2007,"
19359","
0.05%"
漕溪二村,徐汇,万体馆,85,24,2000,"
69481","
1.07%"
虹桥路400弄小区,徐汇,徐家汇,85,35,1997,"
65527","
1.4%"
凯旋一村,徐汇,徐家汇,85,27,1997,"
91036","
1.94%"
实业公寓,徐汇,徐家汇,85,92,1992,"
66535","
1.26%"
汇贤雅居,徐汇,徐家汇,84,66,2007,"
106218","
1.15%"
东荡小区,徐汇,上海南站,83,59,1994,"
55370","
3.15%"
东安一村,徐汇,斜土路,83,200,1980,"
70239","
1.94%"
华叶大厦,徐汇,徐家汇,83,11,1900,"
14319","
1.5%"
凌云新村,徐汇,华东理工,83,132,1994,"
57973","
0.15%"
文定天下苑,徐汇,万体馆,83,65,2003,"
79784","
1.65%"
金龙花苑梅花园,徐汇,龙华,82,3,1999,"
59366","
3.35%"
凯旋花苑,徐汇,万体馆,82,47,2000,"
95364","
6.11%"
龙山新村,徐汇,徐家汇,82,150,1983,"
66232","
7.03%"
徐虹华庭,徐汇,徐家汇,82,47,2003,"
73856","
0.08%"
长春新苑,徐汇,田林,81,50,1996,"
54822","
0.21%"
聚龙新苑,徐汇,龙华,81,1,2004,"
54289","
2.18%"
金塘小区,徐汇,上海南站,81,45,1996,"
62214","
0.4%"
长虹坊,徐汇,康健,80,33,1991,"
67380","
1.33%"
上海汇京国际广场,徐汇,徐家汇,80,67,2013,"
51249","
2.97%"
徐汇临江豪园,徐汇,龙华,80,76,2007,"
89916","
3.58%"
永嘉路新里,徐汇,衡山路,80,47,1946,"
132647","
2.38%"
俞三小区,徐汇,龙华,80,9,1994,"
58771","
4.15%"
紫薇园(徐汇),徐汇,康健,80,25,1992,"
62796","
6.45%"
淮海中路1285弄洋房,徐汇,建国西路,79,89,1936,"
159588","
3.41%"
上海五月天,徐汇,徐家汇,79,41,2003,"
74059","
0.12%"
馨宁公寓,徐汇,华泾,79,78,2011,"
65871","
0.00%"
中汇花园,徐汇,衡山路,79,12,1996,"
101161","
2.8%"
华发小区,徐汇,华泾,78,19,1996,"
52863","
1.16%"
汇峰鼎园,徐汇,斜土路,78,285,2008,"
110220","
1.17%"
楼园小区,徐汇,上海南站,78,16,1995,"
62151","
3.11%"
俞一小区,徐汇,龙华,78,25,1985,"
55539","
4.34%"
保利星苑,徐汇,龙华,77,11,2003,"
80653","
3.26%"
梧桐花园,徐汇,建国西路,77,51,1997,"
103516","
0.62%"
银海大楼,徐汇,漕河泾,77,24,1994,"
13278","
1.18%"
海螺花园,徐汇,徐家汇,76,52,1999,"
74595","
1.55%"
绿邑翠苑,徐汇,植物园,76,3,2004,"
68096","
8.55%"
天钥新村,徐汇,万体馆,76,289,1986,"
80377","
4.80%"
清枫大楼,徐汇,斜土路,75,9,1992,"
80848","
6.29%"
罗城路700弄小区,徐汇,上海南站,74,11,1998,"
57842","
4.24%"
上海师大科技园,徐汇,康健,74,14,2006,"
56994","
1.3%"
乾骏大厦,徐汇,龙华,73,9,2000,"
69953","
1.89%"
田林十村,徐汇,田林,73,31,1987,"
63860","
0.07%"
鸿艺豪苑,徐汇,衡山路,72,85,1999,"
112247","
0.62%"
华泾五村,徐汇,华泾,71,16,1998,"
45355","
1.28%"
景鸿大厦,徐汇,徐家汇,71,105,2000,"
20741","
1.20%"
